timestamp,price
2018-01-06 14,16760.034249513636
2018-01-06 15,16786.666663907934
2018-01-06 16,16806.053526211792
2018-01-06 17,17031.39107884091
2018-01-06 18,17088.944761201852
2018-01-06 19,17009.700641305288
2018-01-06 20,16965.777545221077
2018-01-06 21,16914.316393216734
2018-01-06 22,16764.498161043546
2018-01-06 23,16695.899452885093
2018-01-07 00,16680.594640133993
2018-01-07 01,16504.020293173493
2018-01-07 02,16569.024010563306
2018-01-07 03,16772.563782379188
2018-01-07 04,16697.6765538765
2018-01-07 05,16699.74052452034
2018-01-07 06,16688.837160889747
2018-01-07 07,16545.100796493138
2018-01-07 08,16461.656572065873
2018-01-07 09,16552.874374262607
2018-01-07 10,16533.78260611953
2018-01-07 11,16294.448669924246
2018-01-07 12,16057.253200206262
2018-01-07 13,15969.805455831944
2018-01-07 14,16153.689081237719
2018-01-07 15,16089.964934488626
2018-01-07 16,16248.509243757151
2018-01-07 17,16376.278486991063
2018-01-07 18,16291.0682199727
2018-01-07 19,16155.531210904928
2018-01-07 20,15903.976397104925
2018-01-07 21,15983.142302094733
2018-01-07 22,15691.985317366883
2018-01-07 23,15727.67820278508
2018-01-08 00,15797.443798948661
2018-01-08 01,15850.572081872251
2018-01-08 02,15897.126915898716
2018-01-08 03,15671.388275983718
2018-01-08 04,15389.935239793815
2018-01-08 05,15324.145220590786
2018-01-08 06,15459.045409920023
2018-01-08 07,15421.781855918425
2018-01-08 08,14960.006846580582
2018-01-08 09,14668.214177560401
2018-01-08 10,14504.72589913042
2018-01-08 11,14798.423973098399
2018-01-08 12,14845.12093794857
2018-01-08 13,15008.503877350811
2018-01-08 14,15083.164334532841
2018-01-08 15,14889.239397155456
2018-01-08 16,14986.687722790115
2018-01-08 17,14848.647315553219
2018-01-08 18,14857.327450545376
2018-01-08 19,15026.201368439193
2018-01-08 20,15192.548723698756
2018-01-08 21,15225.718028372976
2018-01-08 22,15274.118020986436
2018-01-08 23,15316.31887059884
2018-01-09 00,15184.926334405705
2018-01-09 01,15015.212873999217
2018-01-09 02,15103.244332770248
2018-01-09 03,15189.746372536654
2018-01-09 04,15098.39502129429
2018-01-09 05,14715.163181226739
2018-01-09 06,14737.11176581311
2018-01-09 07,14794.776399565468
2018-01-09 08,14486.188683048827
2018-01-09 09,14419.943426686732
2018-01-09 10,14678.99228274562
2018-01-09 11,14829.770508955513
2018-01-09 12,14914.874976260733
2018-01-09 13,14953.711993473073
2018-01-09 14,14809.686546858398
2018-01-09 15,14747.232875622576
2018-01-09 16,14711.742008386815
2018-01-09 17,14535.83366337591
2018-01-09 18,14381.602237808696
2018-01-09 19,14195.596889701903
2018-01-09 20,14224.255007936508
2018-01-09 21,14278.148839819225
2018-01-09 22,14296.420469705876
2018-01-09 23,14233.788716335188
2018-01-10 00,14224.298998652737
2018-01-10 01,14263.93757058088
2018-01-10 02,14209.469622122844
2018-01-10 03,13776.69268006788
2018-01-10 04,13762.783445394247
2018-01-10 05,13932.585552747927
2018-01-10 06,14014.101098575142
2018-01-10 07,14067.107463258775
2018-01-10 08,13985.085722879765
2018-01-10 09,13788.033868835588
2018-01-10 10,14144.33080537853
2018-01-10 11,14541.122838767784
2018-01-10 12,14465.81545374684
2018-01-10 13,14585.265940549521
2018-01-10 14,14398.674066328518
2018-01-10 15,14375.932770913541
2018-01-10 16,14492.750164599538
2018-01-10 17,14441.104085301731
2018-01-10 18,14616.592351403886
2018-01-10 19,14780.929003338206
2018-01-10 20,14572.460371953259
2018-01-10 21,14447.121637824224
2018-01-10 22,13745.690162971468
2018-01-10 23,13200.29349314461
2018-01-11 00,13435.553785747805
2018-01-11 01,13469.44162827423
2018-01-11 02,13524.979975125276
2018-01-11 03,13800.668611278063
2018-01-11 04,13654.525573693194
2018-01-11 05,13468.348048014144
2018-01-11 06,13325.844216444288
2018-01-11 07,13705.307276476862
2018-01-11 08,13736.179088065912
2018-01-11 09,13699.68834631043
2018-01-11 10,14060.724017940067
2018-01-11 11,14036.012938398091
2018-01-11 12,13765.416890524446
2018-01-11 13,13763.153969887055
2018-01-11 14,13561.332453477102
2018-01-11 15,13406.173060255138
2018-01-11 16,13357.484902444188
2018-01-11 17,13284.107712782048
2018-01-11 18,13124.708202662649
2018-01-11 19,13076.421547755177
2018-01-11 20,13248.422874590478
2018-01-11 21,13459.38425852199
2018-01-11 22,13549.707158799276
2018-01-11 23,13620.237944326786
2018-01-12 00,13605.488580813912
2018-01-12 01,13697.964629671993
2018-01-12 02,13712.640316850873
2018-01-12 03,13600.514103776217
2018-01-12 04,13490.760606713664
2018-01-12 05,13825.674326081498
2018-01-12 06,13995.223849120915
