negative_tweets,neutral_tweets,positive_tweets,timestamp,price
250,7868,1913,2018-04-15 08:00:00,8332.757678612792
195,7308,1835,2018-04-15 09:00:00,8347.632733728666
210,7847,2063,2018-04-15 10:00:00,8345.979054671423
28,1530,285,2018-04-15 11:00:00,8297.54969259979
284,9284,2417,2018-04-15 12:00:00,8289.577149591798
282,10280,2487,2018-04-15 13:00:00,8285.800663043832
337,10715,2616,2018-04-15 14:00:00,8309.72100758943
258,10029,2714,2018-04-15 15:00:00,8303.653519618092
315,9910,2735,2018-04-15 16:00:00,8305.699568459106
348,9636,2499,2018-04-15 17:00:00,8296.148160105266
189,4832,1291,2018-04-15 18:00:00,8323.158910231372
299,8162,2257,2018-04-15 19:00:00,8338.00114123073
269,8044,2034,2018-04-15 20:00:00,8372.688114294522
196,7236,1802,2018-04-15 21:00:00,8369.513389416941
252,6392,1429,2018-04-15 22:00:00,8176.613187538025
234,6431,1367,2018-04-15 23:00:00,8156.817772101763
224,6560,1320,2018-04-16 00:00:00,8142.71528134405
199,6508,1354,2018-04-16 01:00:00,8071.290719613717
218,7063,1434,2018-04-16 02:00:00,8059.835568763416
201,7127,1569,2018-04-16 03:00:00,8090.947649707951
212,6768,1778,2018-04-16 04:00:00,8113.19000221501
73,2276,575,2018-04-16 05:00:00,8090.339167038929
199,7779,1828,2018-04-16 06:00:00,8094.791957782809
267,9285,2227,2018-04-16 07:00:00,8074.707449861585
241,9049,2274,2018-04-16 08:00:00,8017.882993417408
234,9350,2087,2018-04-16 09:00:00,7937.4945675632625
205,9243,2150,2018-04-16 10:00:00,7963.436204033208
335,9532,2189,2018-04-16 11:00:00,7976.11648179745
333,10587,2354,2018-04-16 12:00:00,7956.500904112932
222,5150,1121,2018-04-16 13:00:00,8011.728406121299
415,10417,2382,2018-04-16 14:00:00,8024.202180733215
483,10378,2254,2018-04-16 15:00:00,8017.221322402128
541,11028,2599,2018-04-16 16:00:00,7975.491164785408
338,9905,2190,2018-04-16 17:00:00,8004.166873774461
364,9623,2233,2018-04-16 18:00:00,8003.738183187705
312,9229,2114,2018-04-16 19:00:00,8046.365385700324
251,8504,2107,2018-04-16 20:00:00,8039.028544099462
20,836,174,2018-04-16 21:00:00,8044.295983917138
287,7078,1377,2018-04-16 22:00:00,8008.623427421459
202,7248,1378,2018-04-16 23:00:00,8021.577875006774
193,6799,1263,2018-04-17 00:00:00,8008.953448897086
194,6938,1384,2018-04-17 01:00:00,7995.339814201446
290,6947,1347,2018-04-17 02:00:00,7997.088675681137
188,7559,1476,2018-04-17 03:00:00,8112.325560384991
304,7580,1403,2018-04-17 04:00:00,8135.849128405326
341,7528,1548,2018-04-17 05:00:00,8136.8562866178545
283,7740,1542,2018-04-17 06:00:00,8102.532850457535
299,6911,1468,2018-04-17 07:00:00,8105.073621244251
305,8801,1881,2018-04-17 08:00:00,8124.931381475904
370,8699,2037,2018-04-17 09:00:00,8095.817873295279
382,8760,2174,2018-04-17 10:00:00,8101.222106452032
451,9739,2476,2018-04-17 11:00:00,8094.3750354265
469,10604,2556,2018-04-17 12:00:00,8101.815301528041
446,9830,2264,2018-04-17 13:00:00,8105.576215964161
369,9357,2243,2018-04-17 14:00:00,8048.20642903858
208,5885,1290,2018-04-17 15:00:00,7885.5739181816025
475,10458,2346,2018-04-17 16:00:00,7892.25975643003
447,10095,2503,2018-04-17 17:00:00,7913.657121496773
398,10336,2621,2018-04-17 18:00:00,7893.835063739195
540,10285,2375,2018-04-17 19:00:00,7886.257194834159
518,8919,2165,2018-04-17 20:00:00,7911.943038965488
328,7874,1691,2018-04-17 21:00:00,7929.580824776319
425,7383,1527,2018-04-17 22:00:00,7934.303388120304
143,3149,714,2018-04-17 23:00:00,7922.950201430354
355,6654,1698,2018-04-18 00:00:00,7922.39571501813
270,6888,1512,2018-04-18 01:00:00,7925.746061672374
273,7119,1509,2018-04-18 02:00:00,7985.83547721533
263,7459,1435,2018-04-18 03:00:00,8115.249051173555
477,7363,1590,2018-04-18 04:00:00,8096.309369861462
345,7726,1890,2018-04-18 05:00:00,8095.366457969469
358,8043,1914,2018-04-18 06:00:00,8094.576697161451
480,9891,2115,2018-04-18 07:00:00,8094.152499059051
328,9143,1973,2018-04-18 08:00:00,8097.176154344609
28,878,142,2018-04-18 09:00:00,8091.634126495074
356,9695,2136,2018-04-18 10:00:00,8074.179251697441
394,10180,2047,2018-04-18 11:00:00,7988.03720711552
