,negative_tweets,neutral_tweets,positive_tweets,timestamp
228,640,10734,2438,2018-04-18 14:00:00
229,708,13688,2330,2018-04-18 15:00:00
230,206,4136,546,2018-04-18 16:00:00
231,576,9869,2005,2018-04-18 17:00:00
232,808,9984,2157,2018-04-18 18:00:00
233,697,9153,2263,2018-04-18 19:00:00
234,557,8985,2010,2018-04-18 20:00:00
235,522,7997,1652,2018-04-18 21:00:00
236,529,6984,1478,2018-04-18 22:00:00
237,431,4984,951,2018-04-18 23:00:00
